#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Ncf1	Cyba	2111516	2094438	10090.ENSMUSP00000106906	10090.ENSMUSP00000017604	0	0	0	0	0.176	0.681	0.9	0.981	0.999
Psmb9	Psmb8	2114455	2096210	10090.ENSMUSP00000133499	10090.ENSMUSP00000025196	0	0	0	0.758	0.984	0.965	0.934	0.954	0.999
Isg15	Usp18	2107452	2098409	10090.ENSMUSP00000082548	10090.ENSMUSP00000032198	0	0	0	0	0.515	0.91	0.9	0.803	0.999
B2m	H2-K1	2110238	2096205	10090.ENSMUSP00000099534	10090.ENSMUSP00000025181	0	0	0	0	0.534	0.972	0.95	0.63	0.999
H2-D1	B2m	2114543	2110238	10090.ENSMUSP00000134570	10090.ENSMUSP00000099534	0	0	0	0	0.542	0.972	0.95	0.557	0.999
H2-Aa	H2-Ab1	2101405	2100472	10090.ENSMUSP00000046105	10090.ENSMUSP00000041008	0	0	0	0.693	0.801	0.91	0.9	0.576	0.998
S100a9	S100a8	2105411	2104511	10090.ENSMUSP00000070842	10090.ENSMUSP00000064385	0	0	0	0.866	0.857	0.783	0.95	0.935	0.998
C1qb	C1qc	2100338	2099670	10090.ENSMUSP00000040246	10090.ENSMUSP00000036747	0	0	0.209	0.903	0.893	0.776	0.95	0.758	0.998
C1qa	C1qb	2101938	2100338	10090.ENSMUSP00000048836	10090.ENSMUSP00000040246	0	0	0	0.838	0.898	0.776	0.95	0.802	0.998
C1qa	C1qc	2101938	2099670	10090.ENSMUSP00000048836	10090.ENSMUSP00000036747	0	0	0	0.823	0.902	0.776	0.95	0.63	0.998
H2-T23	B2m	2110335	2110238	10090.ENSMUSP00000099739	10090.ENSMUSP00000099534	0	0	0	0	0.159	0.943	0.937	0.239	0.997
Cd74	H2-Aa	2109124	2101405	10090.ENSMUSP00000095171	10090.ENSMUSP00000046105	0	0	0	0	0.803	0.75	0.9	0.336	0.996
Cxcl10	Ccl5	2101692	2100220	10090.ENSMUSP00000047646	10090.ENSMUSP00000039600	0	0	0	0	0.54	0	0.9	0.908	0.995
Rac2	Arhgdib	2099612	2098458	10090.ENSMUSP00000036384	10090.ENSMUSP00000032344	0	0	0	0	0.582	0.674	0.929	0.462	0.994
Cd74	H2-Ab1	2109124	2100472	10090.ENSMUSP00000095171	10090.ENSMUSP00000041008	0	0	0	0	0.827	0.57	0.9	0.332	0.994
H2-Eb1	H2-Aa	2106011	2101405	10090.ENSMUSP00000074143	10090.ENSMUSP00000046105	0	0	0	0.697	0.79	0.815	0.8	0.624	0.993
Hbb-b2	Hba-a1	2109278	2108431	10090.ENSMUSP00000095794	10090.ENSMUSP00000090897	0	0	0	0.904	0.296	0.952	0.8	0.432	0.992
Rac2	Cyba	2099612	2094438	10090.ENSMUSP00000036384	10090.ENSMUSP00000017604	0	0	0	0	0.363	0.103	0.936	0.736	0.989
B2m	H2-Q4	2110238	2107098	10090.ENSMUSP00000099534	10090.ENSMUSP00000080159	0	0	0	0	0.202	0.728	0.95	0.171	0.989
Ncf4	Rac2	2108995	2099612	10090.ENSMUSP00000094084	10090.ENSMUSP00000036384	0	0	0	0	0.691	0	0.9	0.65	0.988
Ncf4	Cyba	2108995	2094438	10090.ENSMUSP00000094084	10090.ENSMUSP00000017604	0	0	0	0	0.412	0	0.9	0.783	0.986
Hcrt	Pmch	2103422	2101077	10090.ENSMUSP00000057578	10090.ENSMUSP00000044352	0	0	0	0	0.353	0	0.9	0.788	0.985
Mmp3	Timp1	2099144	2094016	10090.ENSMUSP00000034497	10090.ENSMUSP00000009530	0	0	0	0	0.233	0.776	0.209	0.891	0.983
